,State,"State,Code",Deaths,Births,Death,Rate
,Alabama,1,496,59657,8.31,
,Alaska,2,78,11282,6.91,
,Arizona,4,467,85351,5.47,
,Arkansas,5,293,38886,7.53,
,California,6,2178,491748,4.43,
,Colorado,8,310,66581,4.66,
,Connecticut,9,202,35746,5.65,
,Delaware,10,102,11166,9.13,
,"District,of,Columbia",11,84,9578,8.77,
,Florida,12,1399,224269,6.24,
,Georgia,13,1024,131404,7.79,
,Hawaii,15,104,18420,5.65,
,Idaho,16,107,22827,4.69,
,Illinois,17,948,158116,6.00,
,Indiana,18,614,84040,7.31,
,Iowa,19,167,39482,4.23,
,Kansas,20,233,39154,5.95,
,Kentucky,21,375,55971,6.70,
,Louisiana,22,489,64692,7.56,
,Maine,23,83,12607,6.58,
,Maryland,24,485,73616,6.59,
,Massachusetts,25,309,71492,4.32,
,Michigan,26,739,113312,6.52,
,Minnesota,27,361,69834,5.17,
,Mississippi,28,363,38394,9.45,
,Missouri,29,487,75061,6.49,
,Montana,30,73,12583,5.80,
,Nebraska,31,152,26679,5.70,
,Nevada,32,188,36298,5.18,
,"New,Hampshire",33,51,12433,4.10,
,"New,Jersey",34,483,103127,4.68,
,"New,Mexico",35,131,25816,5.07,
,"New,York",36,1098,237274,4.63,
,"North,Carolina",37,888,120843,7.35,
,"North,Dakota",38,81,11314,7.16,
,Ohio,39,1000,139264,7.18,
,Oklahoma,40,389,53122,7.32,
,Oregon,41,235,45655,5.15,
,Pennsylvania,42,867,141047,6.15,
,"Rhode,Island",44,65,10993,5.91,
,"South,Carolina",45,402,58139,6.91,
,"South,Dakota",46,90,12336,7.30,
,Tennessee,47,568,81685,6.95,
,Texas,48,2305,403618,5.71,
,Utah,49,255,50778,5.02,
,Vermont,50,27,5903,4.57,
,Virginia,51,610,103303,5.90,
,Washington,53,434,88990,4.88,
,"West,Virginia",54,141,19805,7.12,
,Wisconsin,55,389,67041,5.80,
,Wyoming,56,38,7765,4.89,
